Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,17,4.892452402441895,171,1,1,121.48404277964666,1,19,12,5,9,127.375156661993,1,0,0,1,1,0,19.481524491283658,0,0,0,0,0,3.4773167690493203,0,0,0,0,0,-1.1335416080430918,0,10.8,1.4,1.74,Dropout
1,15,-0.18945092855714507,9254,1,1,162.26741866605803,1,1,3,3,3,143.41659690108023,1,0,0,0,1,0,18.17811581193639,0,0,6,6,6,14.512695345832368,0,0,6,6,6,11.74811642436093,0,13.9,-0.3,0.79,Graduate
1,1,4.938434537805799,9070,1,1,121.24020808079001,1,37,37,9,9,125.75646196159542,1,0,0,0,1,0,17.684821915859285,0,0,6,0,0,0.1731363684106001,0,0,6,0,0,2.739120981641474,0,10.8,1.4,1.74,Dropout
1,17,2.501209021200027,9773,1,1,121.2786570060332,1,38,37,5,3,118.04570474170687,1,0,0,1,0,0,19.919239371883034,0,0,6,8,6,13.611547990335556,0,0,6,10,5,11.614694306588389,0,9.4,-0.8,-3.12,Graduate
2,39,0.22578135299964308,8014,0,1,102.07005313649279,1,37,38,9,9,141.07733662848813,0,0,0,1,0,0,43.94549060722923,0,0,6,9,5,12.564928575835713,0,0,6,6,6,12.644305316584493,0,13.9,-0.3,0.79,Graduate
2,39,1.4521456974308904,9991,0,19,132.69156893256925,1,37,37,9,7,113.8318796517149,0,0,1,1,1,0,49.84790812753187,0,0,5,10,5,12.093638462354404,0,0,5,17,5,10.457588041325861,5,16.2,0.3,-0.92,Graduate
1,1,3.517020220752821,9500,1,1,143.29942767859956,1,19,38,7,10,128.27527239539484,1,0,0,1,0,1,18.59225097581065,0,0,7,9,7,14.091463869765642,0,0,8,8,8,15.278739234843462,0,15.5,2.8,-4.06,Graduate
1,18,4.379548463781264,9254,1,1,117.94868672396913,1,37,37,9,9,115.37166507401372,1,0,0,0,1,0,20.279558195120256,0,0,5,5,0,-2.429977572312584,0,0,5,5,0,-0.01497889312288958,0,15.5,2.8,-4.06,Dropout
1,1,3.109347263328362,9238,1,1,136.85936253639454,62,1,1,9,9,129.05174415252736,0,0,0,1,0,1,19.04523425943469,1,0,6,8,6,15.868800270312729,0,0,6,7,6,16.48869669682268,0,16.2,0.3,-0.92,Graduate
1,1,0.6147113852412556,9238,1,1,137.20049544740075,1,1,19,4,7,121.28338966725168,1,0,1,0,0,0,18.022604850547907,0,0,6,9,5,11.143414254172356,0,0,6,14,2,11.98947694091502,0,8.9,1.4,3.51,Dropout
